"ID";"Requisito asociado";"Título";"Precondiciones";"Pasos";"Datos de prueba";"Resultado esperado";"Prioridad";"Tipo";"Técnica de diseño";"Estado";"Defecto"
"CP-021";"RF-17";"Borrado múltiple de empleados con confirmación previa";"Sesión iniciada como Admin. Existen al menos dos empleados de prueba.";"1. Ir a PIM > Employee List.
2. Marcar la casilla de dos empleados de prueba.
3. Pulsar «Delete Selected».
4. Confirmar en el diálogo.
5. Buscar de nuevo ambos empleados.";"Empleados creados en CP-001 y CP-004";"Se solicita confirmación antes de borrar, ambos registros desaparecen del listado y una búsqueda posterior no los devuelve.";"Alta";"Funcional positivo";"Transición de estados";"Pasa";"—"
"CP-022";"RF-18, RF-22";"Edición y guardado de los datos personales de un empleado";"Sesión iniciada como Admin. Existe el empleado de prueba.";"1. Abrir la ficha del empleado desde PIM > Employee List.
2. En Personal Details modificar Other Id, Nationality y Marital Status.
3. Pulsar Save.
4. Recargar la página.";"Other Id: OT-0091 · Nationality: Spanish · Marital Status: Single";"Aparece «Successfully Updated» y los tres valores se conservan tras recargar la página.";"Alta";"Funcional positivo";"Particiones de equivalencia";"Pasa";"—"
"CP-023";"RF-19, RF-20";"La fecha de nacimiento con formato inválido se rechaza";"Sesión iniciada como Admin. Ficha de empleado abierta.";"1. Situarse en Personal Details.
2. Escribir manualmente una fecha con formato incorrecto en Date of Birth.
3. Pulsar Save.";"Date of Birth: 31/02/2020";"Se muestra el mensaje «Should be a valid date in yyyy-dd-mm format» y el valor no se guarda.";"Media";"Funcional negativo";"Particiones de equivalencia";"Pasa";"—"
"CP-024";"RN-01";"La fecha de nacimiento no admite fechas futuras";"Sesión iniciada como Admin. Ficha de empleado abierta.";"1. Situarse en Personal Details.
2. Abrir el selector de Date of Birth y navegar hasta un año futuro.
3. Seleccionar una fecha posterior a hoy.
4. Pulsar Save.";"Date of Birth: 2035-01-01";"El sistema rechaza la fecha con un mensaje de validación: una fecha de nacimiento posterior a hoy no es un dato posible.";"Alta";"Funcional negativo";"Conjetura de errores";"Falla";"BUG-006"
"CP-025";"RF-18, RN-04";"Permiso de conducir con fecha de caducidad pasada";"Sesión iniciada como Admin. Ficha de empleado abierta.";"1. Situarse en Personal Details.
2. Introducir número de licencia y una fecha de caducidad anterior a hoy.
3. Pulsar Save y recargar.";"License Number: B-4457821 · Expiry Date: 2019-01-15";"El dato se guarda —es un valor histórico legítimo— y el sistema no lo trata como error de validación.";"Baja";"Funcional positivo";"Particiones de equivalencia";"Pasa";"—"
"CP-026";"RF-22";"Los cambios en la ficha se reflejan en el listado de empleados";"Sesión iniciada como Admin. Existe el empleado de prueba.";"1. Modificar el Last Name del empleado desde su ficha y guardar.
2. Ir a PIM > Employee List.
3. Buscar el empleado por su Employee Id.";"Last Name: Herrera → Herrera-Ruiz";"El listado muestra el apellido actualizado sin necesidad de vaciar la caché ni volver a iniciar sesión.";"Alta";"Funcional / Smoke";"Transición de estados";"Pasa";"—"
"CP-027";"RF-10, RF-18";"Nombres con tildes y caracteres no ASCII: guardado y búsqueda";"Sesión iniciada como Admin.";"1. Crear un empleado con acentos en el nombre.
2. Comprobar que la ficha y el listado los muestran correctamente.
3. Buscar el empleado escribiendo el nombre SIN tildes.
4. Buscar el empleado escribiendo el nombre CON tildes.";"First Name: Mónica · Last Name: Núñez";"El nombre se almacena y se muestra sin corrupción de caracteres, y la búsqueda lo encuentra tanto con tildes como sin ellas.";"Media";"Funcional";"Particiones de equivalencia";"Falla";"BUG-007"
"CP-028";"RF-18, RNF-02";"El contenido con etiquetas HTML se escapa al mostrarse";"Sesión iniciada como Admin.";"1. Crear un empleado cuyo First Name contenga una etiqueta HTML.
2. Guardar y abrir la ficha.
3. Consultar el registro en PIM > Employee List.";"First Name: <b>Lucia</b>";"El texto se muestra literalmente, tal y como se introdujo, sin interpretarse como marcado. Comprobación del escapado de salida.";"Alta";"Funcional negativo";"Conjetura de errores";"Pasa";"—"
"CP-029";"RF-23";"Los campos de teléfono no admiten letras";"Sesión iniciada como Admin. Ficha de empleado abierta.";"1. Ir a la pestaña Contact Details.
2. Introducir letras en el campo Mobile.
3. Pulsar Save.";"Mobile: SEIS CINCO DOS";"Se muestra el mensaje «Allows numbers and only + - / ( )» y el valor no se guarda.";"Media";"Funcional negativo";"Particiones de equivalencia";"Pasa";"—"
"CP-030";"RF-24";"El correo electrónico con formato inválido se rechaza";"Sesión iniciada como Admin. Ficha de empleado abierta.";"1. Ir a la pestaña Contact Details.
2. Introducir una dirección sin arroba en Work Email.
3. Pulsar Save.";"Work Email: lucia.herrera.empresa.com";"Se muestra el mensaje «Expected format: admin@example.com» y el valor no se guarda.";"Media";"Funcional negativo";"Particiones de equivalencia";"Pasa";"—"
"CP-031";"RF-25";"Alta, edición y borrado de un contacto de emergencia";"Sesión iniciada como Admin. Ficha de empleado abierta.";"1. Ir a Emergency Contacts y pulsar Add.
2. Rellenar nombre, relación y teléfono, y guardar.
3. Editar el teléfono del contacto creado y guardar.
4. Eliminar el contacto y confirmar.";"Nombre: Marta Herrera · Relación: Sister · Teléfono: 652489174";"El contacto se crea, la edición persiste tras recargar y el borrado lo elimina de la tabla previa confirmación.";"Alta";"Funcional / Smoke";"Transición de estados";"Pasa";"—"
"CP-032";"RF-26, RN-01";"Una persona a cargo no admite fecha de nacimiento futura";"Sesión iniciada como Admin. Ficha de empleado abierta.";"1. Ir a la pestaña Dependents y pulsar Add.
2. Introducir nombre y relación Child.
3. Introducir una fecha de nacimiento posterior a hoy.
4. Pulsar Save.";"Nombre: Pablo Herrera · Date of Birth: 2035-06-01";"El sistema rechaza la fecha con un mensaje de validación, igual que en la ficha del empleado.";"Media";"Funcional negativo";"Conjetura de errores";"Falla";"BUG-008"
"CP-033";"RN-02";"La fecha de incorporación no puede ser anterior a la de nacimiento";"Sesión iniciada como Admin. El empleado tiene fecha de nacimiento informada.";"1. Comprobar en Personal Details la fecha de nacimiento del empleado.
2. Ir a la pestaña Job.
3. Introducir una Joined Date anterior a esa fecha de nacimiento.
4. Pulsar Save.";"Date of Birth: 1995-15-06 · Joined Date: 1980-01-10";"El sistema rechaza la combinación con un mensaje de coherencia entre fechas: nadie se incorpora antes de nacer.";"Media";"Funcional negativo";"Tabla de decisión";"Falla";"BUG-009"
"CP-034";"RN-03";"El importe salarial no admite valores negativos";"Sesión iniciada como Admin. Ficha de empleado abierta.";"1. Ir a la pestaña Salary y pulsar Add.
2. Seleccionar componente salarial, divisa y periodicidad.
3. Introducir un importe negativo.
4. Pulsar Save.";"Amount: -1500 · Currency: Euro · Pay Frequency: Monthly";"El sistema rechaza el importe con un mensaje de validación. Un salario negativo no es un dato posible.";"Alta";"Funcional negativo";"Valores límite";"Falla";"BUG-010"
"CP-035";"RF-29";"Un empleado no puede asignarse a sí mismo como supervisor";"Sesión iniciada como Admin. Ficha de empleado abierta.";"1. Ir a la pestaña Report-to.
2. En «Assigned Supervisors» pulsar Add.
3. Introducir el nombre del propio empleado y seleccionarlo.
4. Elegir el método de reporte y pulsar Save.";"Supervisor: el mismo empleado de la ficha";"El sistema impide la asignación: crea un ciclo en la jerarquía de supervisión.";"Media";"Funcional negativo";"Conjetura de errores";"Falla";"BUG-011"
"CP-036";"RF-30";"El adjunto que supera el tamaño máximo configurado se rechaza";"Sesión iniciada como Admin. Ficha de empleado abierta.";"1. Ir a la sección Attachments de la ficha.
2. Pulsar Add y seleccionar un fichero por encima del límite configurado.
3. Introducir un comentario y pulsar Save.";"Fichero por encima del límite de subida de la instancia";"Se muestra un mensaje indicando el tamaño máximo permitido y el adjunto no se añade a la tabla.";"Media";"Funcional negativo";"Valores límite";"Bloqueado";"—"
"CP-037";"RNF-01";"El listado de empleados es operativo en viewport móvil";"Sesión iniciada como Admin. DevTools en modo dispositivo 360 × 640.";"1. Activar la emulación de dispositivo móvil a 360 × 640.
2. Ir a PIM > Employee List.
3. Desplegar el panel de filtros, buscar por Employee Id y revisar el resultado.";"Viewport: 360 × 640 (Galaxy S20)";"El menú lateral se colapsa, los filtros son accesibles y la tabla se consulta mediante desplazamiento horizontal sin perder columnas ni solaparse los controles.";"Media";"Responsive";"Particiones de equivalencia";"Pasa";"—"
"CP-038";"RNF-03";"Los campos del formulario de alta tienen etiqueta asociada";"Sesión iniciada como Admin.";"1. Ir a PIM > Add Employee.
2. Recorrer el formulario completo usando únicamente la tecla Tab.
3. Inspeccionar en las DevTools el marcado de cada input y su etiqueta.
4. Comprobar en el árbol de accesibilidad el nombre expuesto de cada campo.";"Navegación por teclado + inspector de accesibilidad";"Cada campo es alcanzable por teclado en orden lógico y expone un nombre accesible mediante label asociado o aria-label.";"Media";"Accesibilidad";"Particiones de equivalencia";"Falla";"BUG-012"
